,id,author_id,rank
0,2344630.0,38052503,1
1,2344630.0,1681881,2
2,2344630.0,1726246,3
3,2344630.0,2344630,4
4,41219849.0,41219849,1
5,1730156.0,49988044,1
6,1730156.0,1680638,2
7,1730156.0,3282271,3
8,1730156.0,1741745,4
9,1730156.0,1730156,5
10,2348906.0,1403402912,1
11,2348906.0,81120399,2
12,2348906.0,47583368,3
13,2348906.0,1699786,4
14,2348906.0,145773256,5
15,2348906.0,2348906,6
16,1695217.0,143623342,1
17,1695217.0,144534186,2
18,1695217.0,1726246,3
19,1695217.0,2012099,4
20,1695217.0,49380999,5
21,1695217.0,3046907,6
22,1695217.0,1695217,7
23,152297693.0,35392071,1
24,152297693.0,9359661,2
25,152297693.0,144313215,3
26,152297693.0,152297693,4
27,1720429.0,1718305,1
28,1720429.0,145208473,2
29,1720429.0,1720429,3
30,143698368.0,144890679,1
31,143698368.0,34440363,2
32,143698368.0,1865700,3
33,143698368.0,143698368,4
34,32434985.0,2134882,1
35,32434985.0,49732850,2
36,32434985.0,32434985,3
37,1737019.0,143642366,1
38,1737019.0,144166293,2
39,1737019.0,1737019,3
40,38525396.0,38525396,1
41,1827131.0,1701236,1
42,1827131.0,1687350,2
43,1827131.0,1715722,3
44,1827131.0,35591612,4
45,1827131.0,1827131,5
46,25591771.0,25591771,1
47,1839969.0,2340833,1
48,1839969.0,2356097,2
49,1839969.0,2765516,3
50,1839969.0,2054552,4
51,1839969.0,1839969,5
52,145620556.0,40545686,1
53,145620556.0,1740880,2
54,145620556.0,144980015,3
55,145620556.0,1398854351,4
56,145620556.0,70053552,5
57,145620556.0,49525074,6
58,145620556.0,145456981,7
59,145620556.0,1733076,8
60,145620556.0,2445923,9
61,145620556.0,40221545,10
62,145620556.0,2400273,11
63,145620556.0,1727108,12
64,145620556.0,2080173,13
65,145620556.0,1764470,14
66,145620556.0,1834216,15
67,145620556.0,144260175,16
68,145620556.0,40447492,17
69,145620556.0,1729747,18
70,145620556.0,49193745,19
71,145620556.0,1733056,20
72,145620556.0,144463965,21
73,145620556.0,145620556,22
74,143667142.0,3016513,1
75,143667142.0,143667142,2
76,145612191.0,40397539,1
77,145612191.0,144313414,2
78,145612191.0,40448872,3
79,145612191.0,144222395,4
80,145612191.0,145612191,5
81,145189240.0,145189240,1
82,145778768.0,1786752,1
83,145778768.0,145778768,2
84,1794359.0,1794359,1
85,145341374.0,1895356,1
86,145341374.0,2514691,2
87,145341374.0,2426718,3
88,145341374.0,6803671,4
89,145341374.0,145341374,5
90,1729804.0,153622478,1
91,1729804.0,3126827,2
92,1729804.0,2923710,3
93,1729804.0,34447742,4
94,1729804.0,1698456,5
95,1729804.0,1718214,6
96,1729804.0,35964168,7
97,1729804.0,1729804,8
98,1764975.0,1720844,1
99,1764975.0,145802082,2
100,1764975.0,1764975,3
101,144467753.0,143834867,1
102,144467753.0,2579531,2
103,144467753.0,2858881,3
104,144467753.0,2959744,4
105,144467753.0,3376832,5
106,144467753.0,1946809,6
107,144467753.0,143666627,7
108,144467753.0,143838343,8
109,144467753.0,144467753,9
110,144467753.0,143834867,10
111,144467753.0,2579531,11
112,144467753.0,143666627,12
