first_name,gender,is_initial
Kap,andy,False
Manuel,male,False
Ernesto,male,False
Vikas,male,False
Puneet,unknown,False
Joan,female,False
Ricardo,male,False
Elena,female,False
Manolis,male,False
Min,andy,False
Zhang,andy,False
Gin,unknown,False
Chu,andy,False
Leonardo,male,False
Gaurav,unknown,False
Rahul,male,False
Mani,mostly_male,False
Rajesh,male,False
Jeff,male,False
Prashanth,unknown,False
Xiaofan,unknown,False
Jorge,male,False
Sushant,unknown,False
Nils,male,False
Ewa,female,False
Jacek,male,False
Pawel,male,False
Dominik,male,False
Wen,andy,False
Xiaogang,unknown,False
Jigang,unknown,False
Wen-Jung,unknown,False
Norhayati,unknown,False
Prashan,unknown,False
Quang,mostly_male,False
Malin,female,False
Anders,male,False
Samuel,male,False
Amanda,female,False
Denise,female,False
Dudley,male,False
Raphael,male,False
Giancarlo,male,False
Mauro,male,False
Michele,female,False
Mario,male,False
Rodrigo,male,False
Joakim,male,False
Mahendran,male,False
Angela,female,False
Rodger,male,False
M,unknown,False
Jairo,male,False
Lucas,male,False
Gang,andy,False
Ji-xiang,unknown,False
Suriati,unknown,False
Mohd,unknown,False
Dzulkifli,unknown,False
Habibollah,male,False
Ilkka,male,False
Pauliina,female,False
Xiaodong,unknown,False
Xi,andy,False
Nikolay,male,False
Angelika,female,False
Liu,andy,False
Ming-Xin,andy,False
Li-Na,andy,False
Zhi-Xia,andy,False
Ming,andy,False
Virginia,female,False
Alejandro,male,False
Mikhail,male,False
Sven,male,False
Matan,male,False
리보,unknown,False
푸칸,unknown,False
Chitra,female,False
Jesús,mostly_male,False
Ignacio,male,False
Jonas,male,False
Luis,male,False
Xiaohong,unknown,False
Percy,male,False
Yaseen,male,False
Ricky,male,False
Huiming,unknown,False
Jinsheng,unknown,False
Achilles,unknown,False
José-Miguel,unknown,False
Maria,female,False
Shilian,unknown,False
Jerry,male,False
Yan-ping,unknown,False
Dong-liang,unknown,False
Rui,male,False
Ivica,male,False
Pero,male,False
Tomislav,male,False
Ljubimko,unknown,False
Juraj,male,False
Željko,male,False
Josip,male,False
Stanko,male,False
Višeslav,unknown,False
Orin,male,False
Claus,male,False
Susanne,female,False
Khairul,unknown,False
Norazlan,unknown,False
Zuriati,unknown,False
Petter,male,False
Hans,male,False
Wenlu,unknown,False
Dianyun,unknown,False
Cong,mostly_male,False
