author_id,gender
1398184774,female
1727782,female
2724380,female
2373478,female
2435733,female
1687524,female
2658043,female
51332183,female
2361074,female
1382493326,female
1720140,female
1733571,female
3022234,female
39981156,female
1704409,female
4607830,female
2868232,female
48952699,female
49501003,female
40614240,female
1685538,female
39893757,female
144792336,female
38785989,female
39877805,female
1971348,female
11246057,female
2683801,female
121056055,female
1409266227,female
35229605,female
3137194,female
1408270452,female
144792337,female
2669730,female
2481708,female
145056470,female
1700216,female
145310464,female
2082840,female
2983284,female
3306148,female
1834435,female
50103247,female
152787206,female
34814643,female
70520889,female
38610962,female
3126302,female
1701956,female
34982398,female
145775700,female
144391358,female
1808934,female
3313164,female
1405618739,female
10624487,female
22856836,female
1754638,female
2719964,female
144931365,female
152899078,female
1794151,female
144421515,female
48177626,female
52451583,female
2350346,female
41077719,female
32046016,female
144409846,female
2077163,female
1400894767,female
50776075,female
2741791,female
2063677,female
52240169,female
2965210,female
120298933,female
3273840,female
97358186,female
121792314,female
3019090,female
3348093,female
153122068,female
2964916,female
30541209,female
145173474,female
145235844,female
50030323,female
32321587,female
145467356,female
152119079,female
2723598,female
1726281,female
27987805,female
2438252,female
48352420,female
1401130332,female
1400894767,female
2505506,female
34600219,female
2986418,female
48108439,female
47490808,female
7626470,female
46935294,female
1845351,female
2385431,female
1738207,female
1772317,female
1692928,female
2297701,female
145093170,female
3057136,female
2298874,female
34303093,female
1687933,female
40489684,female
2734711,female
1927606,female
2970934,female
70157739,female
1409150570,female
1409150579,female
2626199,female
31741336,female
1398640341,female
2460125,female
1734894,female
30974806,female
50575232,female
15792742,female
2561995,female
72952232,female
1397218190,female
2619495,female
31864438,female
1685816,female
145574559,female
143903983,female
4607830,female
2868232,female
21993103,female
144961603,female
39008485,female
2136919,female
3389272,female
2868232,female
4607830,female
3141214,female
1707168,female
1735035,female
1753498,female
47782709,female
49738107,female
69921655,female
147417100,female
1398881851,female
145270477,female
144968698,female
144465162,female
1827380,female
145046331,female
38120659,female
80844239,female
1755614,female
2220294,female
1781360,female
1728110,female
2424972,female
49035038,female
1765180,female
1719512,female
16172247,female
1779107,female
1741922,female
47526833,female
50217575,female
46750193,female
145740812,female
117552808,female
2516047,female
2177801,female
144198587,female
2215751,female
2745490,female
50113689,female
1781565,female
1693267,female
2691592,female
153152449,female
38551815,female
3042618,female
3165962,female
145059879,female
2598927,female
144168998,female
1729566,female
3076463,female
1770537,female
145115014,female
1930218,female
1757695,female
1734327,female
31002656,female
1401124334,female
1934528,female
1694571,female
40665506,female
40575321,female
9595724,female
2434444,female
2982768,female
3161228,female
9187734,female
70482425,female
1749158,female
9414644,female
9146123,female
1820919,female
144251490,female
2300627,female
1699459,female
3657250,female
27983659,female
39008485,female
1912259,female
1797619,female
2221712,female
29966920,female
32230697,female
37911809,female
2933101,female
1774179,female
3064863,female
144269509,female
40427224,female
2802089,female
145641567,female
2109138,female
1743841,female
48979351,female
2001449,female
1761425,female
2204232,female
1785714,female
48539131,female
40546894,female
39889605,female
1719385,female
2359009,female
18304763,female
1682226,female
3105548,female
1401640334,female
2797063,female
1740313,female
33003395,female
50223429,female
2447628,female
2596187,female
3199444,female
2336107,female
2597140,female
144282994,female
32133071,female
48704038,female
25223881,female
34730854,female
69946971,female
65751754,female
1682418,female
145062630,female
1747893,female
1728602,female
35250885,female
1831395,female
47663240,female
1751812,female
2903226,female
39994412,female
144162611,female
145526918,female
2577769,female
1809305,female
4718119,female
2546292,female
144340937,female
144050371,female
1845150,female
9611228,female
39116315,female
50624554,female
1712644,female
70520431,female
2906013,female
2263329,female
1734745,female
143811023,female
1736370,female
4186457,female
1699112,female
1699112,female
2841351,female
1731680,female
144162327,female
1398963785,female
1798406,female
8607440,female
143765717,female
50130827,female
2661343,female
145277963,female
1753222,female
143813540,female
1699112,female
2145559,female
145699852,female
2630659,female
143741956,female
1403982540,female
2932353,female
49210208,female
2256948,female
145491624,female
2745740,female
2349191,female
2089522,female
2698209,female
49921844,female
1741232,female
2688563,female
2547340,female
1715883,female
1711286,female
2235298,female
2578662,female
2705137,female
39340117,female
47823505,female
1408890744,female
1699112,female
2753117,female
91166415,female
1693337,female
144796464,female
1693337,female
2669215,female
39410168,female
1693337,female
2630659,female
1406292772,female
1734745,female
2583618,female
1731680,female
2941024,female
34102601,female
3160543,female
1778015,female
2977553,female
1699112,female
2630659,female
3294328,female
1803403,female
1689666,female
2746037,female
2171101,female
144180010,female
1701316,female
5403194,female
2011117,female
1717417,female
1696621,female
1802743,female
98801017,female
10263373,female
11678098,female
145377524,female
48950006,female
2244604,female
1806346,female
1701530,female
52410963,female
50812829,female
3093607,female
50485988,female
1800804,female
39322578,female
145732642,female
144162327,female
1398963785,female
38938625,female
50456043,female
34918362,female
3309591,female
1730404,female
2045027,female
2356662,female
2402028,female
145174228,female
2292819,female
145681472,female
49412002,female
2238139,female
1770537,female
3208676,female
144773105,female
1701794,female
2443023,female
1702397,female
144556101,female
9451343,female
1399325052,female
1730404,female
1932752,female
2332168,female
50130827,female
49998719,female
2193683,female
1797021,female
143609956,female
3118681,female
50101920,female
1951956,female
3243432,female
143615116,female
2116564,female
30856054,female
1398193802,female
92148538,female
3288694,female
30161423,female
2129419,female
2118008,female
1738067,female
49394250,female
46469751,female
2763404,female
117489779,female
1737544,female
1398193802,female
17964290,female
2009505,female
2948456,female
13558075,female
123141603,female
70902593,female
70658841,female
39238487,female
2725326,female
1718066,female
2982428,female
2288094,female
35242641,female
2507877,female
2976745,female
1738067,female
32198206,female
2948456,female
