author_id,gender
1726246,female
145078811,female
144066998,female
1699786,female
1726246,female
144260175,female
40448872,female
35964168,female
1764975,female
1770537,female
1763896,female
69044839,female
143859272,female
1891470,female
11137066,female
1771108,female
37176218,female
1699751,female
2153304,female
144337513,female
2842650,female
1702744,female
48913682,female
1398832206,female
144162611,female
145526918,female
2577769,female
1809305,female
3164630,female
144740161,female
30080277,female
1726246,female
2478475,female
144872567,female
1781565,female
3207705,female
1909157,female
36026519,female
144083401,female
144987760,female
2366701,female
2161398,female
1724356,female
1957919,female
1404338309,female
144216127,female
144337513,female
2992435,female
1764576,female
36518152,female
1740273,female
1725195,female
1742361,female
1720373,female
48543181,female
144083401,female
145028413,female
1944467,female
3288964,female
2573426,female
2826277,female
144223103,female
145446632,female
3044329,female
1861915,female
2259954,female
2680818,female
1748631,female
3198238,female
2945241,female
49646527,female
1403847599,female
2070517,female
143722231,female
47169980,female
145017829,female
66387505,female
31205387,female
2689520,female
3321001,female
1738429,female
1809749,female
2416282,female
143929556,female
145695386,female
1703892,female
1728701,female
1697808,female
1978039,female
1702632,female
2565713,female
2166111,female
1767467,female
2070517,female
3231264,female
2753012,female
38035270,female
2070517,female
143742312,female
2298633,female
49724730,female
3321001,female
3100832,female
1751886,female
1804855,female
1403360622,female
1757926,female
2088723,female
144833969,female
144221985,female
2153304,female
1740872,female
1397958221,female
33799785,female
145944405,female
34808484,female
2012491,female
9709946,female
1738774,female
2366624,female
34662389,female
1786275,female
65727774,female
70298986,female
1730356,female
144963510,female
31443785,female
2153304,female
145980903,female
145709776,female
145918049,female
1404630607,female
144614913,female
1722064,female
1729969,female
1816006,female
2909907,female
145850420,female
144225173,female
35964168,female
2262404,female
145071454,female
1718134,female
2333241,female
3012858,female
145905839,female
2558865,female
49738107,female
1743774,female
144138638,female
1790567,female
1957919,female
2004672,female
1808829,female
1679913,female
1398550766,female
1767467,female
31686616,female
2986418,female
144042882,female
2259954,female
1931917,female
40448872,female
34733613,female
153599100,female
1939433,female
2238618,female
144794379,female
144067128,female
39748295,female
1398184774,female
1727782,female
2724380,female
2373478,female
2435733,female
1687524,female
2658043,female
2813347,female
80214897,female
145581262,female
1701876,female
50851661,female
1777350,female
145320309,female
2461074,female
1934996,female
1778286,female
34664064,female
48887176,female
2985492,female
143969394,female
34597830,female
2317486,female
2140703,female
1399706243,female
2935367,female
34645657,female
1700780,female
1778286,female
34664064,female
1716333,female
1713742,female
1422477797,female
1403590804,female
145455227,female
37951370,female
50722517,female
11774676,female
1695437,female
145413349,female
2477483,female
96502708,female
1882382,female
46761132,female
2679945,female
49824784,female
2650477,female
1804028,female
1692521,female
1693894,female
1693894,female
1986996,female
145584212,female
3078482,female
1723372,female
48198096,female
1783944,female
3326792,female
3166289,female
3202999,female
1700254,female
2150937,female
145095677,female
2250900,female
3087841,female
31575674,female
1700609,female
2684486,female
8752806,female
1404638407,female
10267102,female
3073146,female
1976796,female
143657472,female
2037483,female
1786321,female
145387780,female
116105782,female
2063494,female
1781121,female
153088683,female
34274807,female
145174228,female
2911532,female
1403932253,female
3217528,female
1397689071,female
114690542,female
2591402,female
1787072,female
144046205,female
8752806,female
144645429,female
70429435,female
70157406,female
46814742,female
145350322,female
144193237,female
2672602,female
2705137,female
2104321,female
144145319,female
47848774,female
39597412,female
72425541,female
36199174,female
2150744,female
145503059,female
3252326,female
47691848,female
2820635,female
32971251,female
3067567,female
1403258043,female
49957057,female
145271857,female
47820131,female
1727902,female
47381474,female
